year,estimate,sd,q025,q975
2005,1.7566066965714033,0.13805185598395392,1.509872456883267,2.0531182389945686
2006,2.2432425502458364,0.22886005438458495,1.8477630644621275,2.747125507686402
2007,2.715273398781535,0.28956936916802295,2.2044199781107108,3.3416593357324524
2008,1.7797220257193644,0.16509553946561914,1.487310335307523,2.1365868399408714
2009,2.4555484030969223,0.23988649697635986,2.0355470460293823,2.9660025015301557
2010,2.209410206222235,0.20257703263817967,1.8535786311323887,2.64725186654732
2012,1.8604304933586044,0.1543311332383566,1.5882486154171038,2.188800454417382
2013,1.839452040061278,0.14726334133260477,1.5761722664237017,2.154606666952689
2015,1.7509675778236247,0.1605659013514573,1.466540471070514,2.099409202756231
2017,2.1060240469183333,0.20919098640880945,1.7368170092497963,2.557067578008527
2018,2.7044448703573325,0.25166328983602987,2.2573670026049677,3.2361971535832894
